specimen_collection_date,new_cases,cumulative_cases,data_as_of,data_loaded_at
08/28/2020 12:00:00 AM,66,9600,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/31/2020 12:00:00 AM,84,9763,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/03/2020 12:00:00 AM,93,10021,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/06/2020 12:00:00 AM,25,10160,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/09/2020 12:00:00 AM,70,10347,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/12/2020 12:00:00 AM,44,10534,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/15/2020 12:00:00 AM,83,10733,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/18/2020 12:00:00 AM,88,10943,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/21/2020 12:00:00 AM,53,11052,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/24/2020 12:00:00 AM,74,11244,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/27/2020 12:00:00 AM,31,11348,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/30/2020 12:00:00 AM,50,11493,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/03/2020 12:00:00 AM,19,11577,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/06/2020 12:00:00 AM,37,11653,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/09/2020 12:00:00 AM,36,11762,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/12/2020 12:00:00 AM,35,11832,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/15/2020 12:00:00 AM,40,11946,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/18/2020 12:00:00 AM,10,12019,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
